RUN	PerformanceTests.UserSimulation	usersimulation	1595345322341	 	3.0.2
USER	get all users	6	START	1595345327559	1595345327559
USER	get all users	4	START	1595345327559	1595345327559
USER	get all users	3	START	1595345327558	1595345327558
USER	get all users	5	START	1595345327559	1595345327559
USER	get all users	1	START	1595345327558	1595345327558
USER	get all users	2	START	1595345327558	1595345327558
USER	get all users	7	START	1595345328562	1595345328562
USER	get all users	8	START	1595345329596	1595345329596
REQUEST	8		GET /users	1595345329822	1595345330235	OK	 
REQUEST	2		GET /users	1595345329823	1595345330241	OK	 
REQUEST	3		GET /users	1595345329822	1595345330239	OK	 
REQUEST	1		GET /users	1595345329822	1595345330247	OK	 
REQUEST	5		GET /users	1595345329823	1595345330196	OK	 
USER	get all users	8	END	1595345329596	1595345330274
USER	get all users	2	END	1595345327558	1595345330287
USER	get all users	3	END	1595345327558	1595345330292
REQUEST	7		GET /users	1595345329822	1595345330235	OK	 
USER	get all users	1	END	1595345327558	1595345330295
USER	get all users	5	END	1595345327559	1595345330309
USER	get all users	7	END	1595345328562	1595345330319
REQUEST	6		GET /users	1595345329822	1595345330249	OK	 
USER	get all users	6	END	1595345327559	1595345330326
REQUEST	4		GET /users	1595345329821	1595345330249	OK	 
USER	get all users	4	END	1595345327559	1595345330342
USER	get all users	9	START	1595345330543	1595345330543
REQUEST	9		GET /users	1595345330605	1595345330795	OK	 
USER	get all users	9	END	1595345330543	1595345330803
USER	get all users	10	START	1595345331543	1595345331543
REQUEST	10		GET /users	1595345331620	1595345331786	OK	 
USER	get all users	10	END	1595345331543	1595345331799
USER	get all users	11	START	1595345332543	1595345332543
REQUEST	11		GET /users	1595345332589	1595345332797	OK	 
USER	get all users	11	END	1595345332543	1595345332810
USER	get all users	12	START	1595345333543	1595345333543
REQUEST	12		GET /users	1595345333589	1595345333761	OK	 
USER	get all users	12	END	1595345333543	1595345333767
USER	get all users	13	START	1595345334539	1595345334539
REQUEST	13		GET /users	1595345334590	1595345334765	OK	 
USER	get all users	13	END	1595345334539	1595345334775
USER	get all users	14	START	1595345335543	1595345335543
REQUEST	14		GET /users	1595345335605	1595345335781	OK	 
USER	get all users	14	END	1595345335543	1595345335794
USER	get all users	15	START	1595345336537	1595345336537
REQUEST	15		GET /users	1595345336588	1595345336759	OK	 
USER	get all users	15	END	1595345336537	1595345336774
